12.5,0.22,1.457,0.633
26.529,6.4286,-22,0
25.499,9.7416,-21,0
24.467,12.103,-20,0
23.432,14.002,-19,0
22.394,15.608,-18,0
26.599,6.1318,-18,1
21.353,17.005,-17,0
25.516,9.6978,-17,1
20.308,18.239,-16,0
24.427,12.184,-16,1
19.26,19.343,-15,0
23.331,14.169,-15,1
26.933,4.4433,-15,2
18.208,20.336,-14,0
22.229,15.842,-14,1
25.805,8.8987,-14,2
17.152,21.235,-13,0
21.121,17.292,-13,1
24.668,11.688,-13,2
16.091,22.05,-12,0
20.004,18.573,-12,1
23.519,13.854,-12,2
26.815,5.1076,-12,3
15.024,22.79,-11,0
18.879,19.715,-11,1
22.36,15.657,-11,2
25.643,9.3551,-11,3
13.952,23.462,-10,0
17.746,20.741,-10,1
21.189,17.208,-10,2
24.455,12.126,-10,3
12.873,24.071,-9,0
16.602,21.668,-9,1
20.006,18.57,-9,2
23.251,14.3,-9,3
26.364,7.075,-9,4
11.785,24.621,-8,0
15.446,22.506,-8,1
18.809,19.782,-8,2
22.03,16.118,-8,3
25.142,10.629,-8,4
10.689,25.117,-7,0
14.278,23.265,-7,1
17.597,20.868,-7,2
20.791,17.688,-7,3
23.895,13.196,-7,4
26.88,4.7517,-7,5
9.5804,25.56,-6,0
13.093,23.951,-6,1
16.367,21.845,-6,2
19.533,19.068,-6,3
22.624,15.273,-6,4
25.633,9.3848,-6,5
8.4581,25.953,-5,0
11.891,24.571,-5,1
15.117,22.728,-5,2
18.253,20.296,-5,3
21.329,17.034,-5,4
24.344,12.347,-5,5
27.217,2.0781,-5,6
7.3179,26.297,-4,0
10.665,25.127,-4,1
13.843,23.526,-4,2
16.949,21.397,-4,3
20.009,18.568,-4,4
23.023,14.665,-4,5
25.96,8.4375,-4,6
6.1532,26.594,-3,0
9.4098,25.623,-3,1
12.539,24.246,-3,2
15.616,22.389,-3,3
18.659,19.924,-3,4
21.669,16.6,-3,5
24.629,11.769,-3,6
4.9533,26.843,-2,0
8.1156,26.062,-2,1
11.198,24.894,-2,2
14.247,23.283,-2,3
17.275,21.135,-2,4
20.281,18.27,-2,5
23.253,14.298,-2,6
26.146,7.8421,-2,7
3.6959,27.045,-1,0
6.7652,26.445,-1,1
9.8061,25.474,-1,2
12.834,24.091,-1,3
15.851,22.223,-1,4
18.854,19.739,-1,5
21.833,16.383,-1,6
24.767,11.475,-1,7
2.3197,27.198,0,0
5.3237,26.772,0,1
8.3431,25.99,0,2
11.362,24.819,0,3
14.376,23.204,0,4
17.381,21.048,0,5
20.369,18.171,0,6
23.328,14.175,0,7
26.206,7.6387,0,8
3.6959,27.045,1,0
6.7652,26.445,1,1
9.8061,25.474,1,2
12.834,24.091,1,3
15.851,22.223,1,4
18.854,19.739,1,5
21.833,16.383,1,6
24.767,11.475,1,7
4.9533,26.843,2,0
8.1156,26.062,2,1
11.198,24.894,2,2
14.247,23.283,2,3
17.275,21.135,2,4
20.281,18.27,2,5
23.253,14.298,2,6
26.146,7.8421,2,7
6.1532,26.594,3,0
9.4098,25.623,3,1
12.539,24.246,3,2
15.616,22.389,3,3
18.659,19.924,3,4
21.669,16.6,3,5
24.629,11.769,3,6
7.3179,26.297,4,0
10.665,25.127,4,1
13.843,23.526,4,2
16.949,21.397,4,3
20.009,18.568,4,4
23.023,14.665,4,5
25.96,8.4375,4,6
8.4581,25.953,5,0
11.891,24.571,5,1
15.117,22.728,5,2
18.253,20.296,5,3
21.329,17.034,5,4
24.344,12.347,5,5
27.217,2.0781,5,6
9.5804,25.56,6,0
13.093,23.951,6,1
16.367,21.845,6,2
19.533,19.068,6,3
22.624,15.273,6,4
25.633,9.3848,6,5
10.689,25.117,7,0
14.278,23.265,7,1
17.597,20.868,7,2
20.791,17.688,7,3
23.895,13.196,7,4
26.88,4.7517,7,5
11.785,24.621,8,0
15.446,22.506,8,1
18.809,19.782,8,2
22.03,16.118,8,3
25.142,10.629,8,4
12.873,24.071,9,0
16.602,21.668,9,1
20.006,18.57,9,2
23.251,14.3,9,3
26.364,7.075,9,4
13.952,23.462,10,0
17.746,20.741,10,1
21.189,17.208,10,2
24.455,12.126,10,3
15.024,22.79,11,0
18.879,19.715,11,1
22.36,15.657,11,2
25.643,9.3551,11,3
16.091,22.05,12,0
20.004,18.573,12,1
23.519,13.854,12,2
26.815,5.1076,12,3
17.152,21.235,13,0
21.121,17.292,13,1
24.668,11.688,13,2
18.208,20.336,14,0
22.229,15.842,14,1
25.805,8.8987,14,2
19.26,19.343,15,0
23.331,14.169,15,1
26.933,4.4433,15,2
20.308,18.239,16,0
24.427,12.184,16,1
21.353,17.005,17,0
25.516,9.6978,17,1
22.394,15.608,18,0
26.599,6.1318,18,1
23.432,14.002,19,0
24.467,12.103,20,0
25.499,9.7416,21,0
26.529,6.4286,22,0
